WellName,TotalProdMonths,OIL_BBL
TEXACO-MCMURRY B 50 205HL,25,5304.314030314808
TEXACO-MCMURRY B 50 205HL,26,5237.501731062179
TEXACO-MCMURRY B 50 205HL,27,4727.555382821609
TEXACO-MCMURRY B 50 205HL,28,4300.401606425702
TEXACO-MCMURRY B 50 205HL,29,4803.731053245239
TEXACO-MCMURRY B 50 205HL,30,4827.844712182061
TEXACO-MCMURRY B 50 205HL,31,4359.632076693872
TEXACO-MCMURRY B 50 205HL,32,4013.991449669646
TEXACO-MCMURRY B 50 205HL,33,3779.384203480589
TEXACO-MCMURRY B 50 205HL,34,3777.691410804508
TEXACO-MCMURRY B 50 205HL,35,356.6265060240964
TEXACO-MCMURRY B 50 205HL,36,1578.961005311569
TEXACO-MCMURRY B 50 205HL,37,2515.3517294986395
TEXACO-MCMURRY B 50 205HL,38,734.9397590361446
TEXACO-MCMURRY B 50 205HL,39,1054.5407436196397
TEXACO-MCMURRY B 50 205HL,40,1012.5836680053546
TEXACO-MCMURRY B 50 205HL,41,1675.8647493198598
TEXACO-MCMURRY B 50 205HL,42,1890.763052208835
TEXACO-MCMURRY B 50 205HL,43,3155.849203264672
TEXACO-MCMURRY B 50 205HL,44,3078.6371291618084
TEXACO-MCMURRY B 50 205HL,45,2508.701472556894
TEXACO-MCMURRY B 50 205HL,46,1993.0042751651768
TEXACO-MCMURRY B 50 205HL,47,2311.6465863453814
TEXACO-MCMURRY B 50 205HL,48,2400.31092110377
TEXACO-MCMURRY B 50 205HL,49,1129.680010364037
TEXACO-MCMURRY B 50 205HL,50,1725.7601835915086
TEXACO-MCMURRY B 50 205HL,51,2929.913201191864
TEXACO-MCMURRY B 50 205HL,52,2029.986613119143
TEXACO-MCMURRY B 50 205HL,53,
TEXACO-MCMURRY B 50 205HL,54,47.12182061579651
TEXACO-MCMURRY B 50 205HL,55,199.5077082523643
TEXACO-MCMURRY B 50 205HL,56,117.63181759295246
TEXACO-MCMURRY B 50 205HL,57,439.0896921017402
TEXACO-MCMURRY B 50 205HL,58,657.0799326337608
TEXACO-MCMURRY B 50 205HL,59,688.6211512717535
STRAIN 20 UNIT 2 2027SH,1,6837.899564720215
STRAIN 20 UNIT 2 2027SH,2,20946.920377346338
STRAIN 20 UNIT 2 2027SH,3,15274.213801204574
STRAIN 20 UNIT 2 2027SH,4,13910.70688564636
STRAIN 20 UNIT 2 2027SH,5,10585.024497313789
STRAIN 20 UNIT 2 2027SH,6,10054.14668648327
STRAIN 20 UNIT 2 2027SH,7,8384.249331916673
STRAIN 20 UNIT 2 2027SH,8,3348.3827346288904
STRAIN 20 UNIT 2 2027SH,9,8628.944911297851
STRAIN 20 UNIT 2 2027SH,10,6000.093474542208
